Code,SMILES,Score,,,,,
D1,CC1(C)C(C(=O)O)N2C(=O)C(C2S1)/N=C(/O)\Cc1ccccc1,-13.9,,,,D1,
D2,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@H](CC(=O)O3)O)[C@@H]12,-15.7,,,,D2,
D3,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@H](CC(=O)O3)O)[C@@H]12,-16,,,,D3,
D4,C1[C@H](C=C2[C@H]([C@H]1OC(=O)C(CC)(C)C)[C@H]([C@H](C=C2)C)CC[C@@H]1C[C@H](CC(=O)O1)O)C,-15.7,,,,D4,
D5,C[C@]1(c2cccc(c2C(=C2[C@@H]1C[C@H]1[C@@H](C(=O)C(=C([C@]1(C2=O)O)O)C(=N)O)N(C)C)O)O)O,-13.5,,,,D5,
D6,CC(C)CCCCC/C(=N/[C@H](Cc1ccc(cc1)O)/C(=N/[C@@H](CO)/C(=N/[C@H](CC(C)C)/C(=N/[C@@H](Cc1c[nH]c2ccccc12)/C(=N/[C@@H](CCCNC(=N)N)C(=O)O)/O)/O)/O)/O)/O,-18,,,,D6,
D7,CCOC(=O)[C@H](CCCNC(=N)N)/N=C(/[C@H](Cc1c[nH]c2ccccc12)/N=C(/[C@@H](CC(C)C)/N=C(/[C@H](CO)/N=C(/[C@@H](Cc1ccc(cc1)O)/N=C(/CCCCCC(C)C)\O)\O)\O)\O)\O,-19.8,,,,D7,
D8,C(CCCCC/C(=C/C(=O)/C=C\1/OC(C(=O)N1)CCCC)/C)C,-13.1,,,,#N/A,
D9,C(CCCCC/C(=C/C(=O)/C=C\1/O[C@@H](C(=O)N1)CCCCC)/C)C,-13.5,,,,#N/A,
D10,CCCCCC/C(=C/C(=O)/C=C\1/O[C@@H](C(=O)N1)CCCC)/C,-12.7,,,,#N/A,
D11,C(CCCCC/C(=C/C(=O)CC(=N)O[C@H](C(=O)O)CCCC)/C)C,-13.8,,,,D11,
D12,c1(ccc2c(c1)c(c[nH]2)c1c(c([nH]c1)C(=O)OC)c1c2c([nH]c1)ccc(c2)Cl)Cl,-16.3,,,,D12,
D13,c1(c(cc2c(c1)c(c[nH]2)c1c(c([nH]c1)C(=O)OC)c1c2c([nH]c1)ccc(c2)Cl)Cl)Cl,-15.8,,,,D13,
D14,c1(c(cc2c(c1)c(c[nH]2)c1c(c[nH]c1)c1c2c([nH]c1)cc(c(c2)Cl)Cl)Cl)Cl,-15.8,,,,D14,
